Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
MTHFR	O75083	WDR1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	5|2|1	8	3	0.00	0.02|0.00|0.00	5|2|1	0.0067	0.0200	0.9513
MTHFR	O00231	PSMD11	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|0|5	8	3	0.04	0.00|0.00|0.16	3|2|1	0.0550	0.1625	0.8951
MTHFR	O00232	PSMD12	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|6	8	3	0.02	0.00|0.00|0.06	5|1|3	0.0217	0.0650	0.9308
MTHFR	P42771	CDKN2A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|1|3	7	3	0.04	0.07|0.00|0.07	2|0|3	0.0475	0.0750	0.9023
MTHFR	Q09028	RBBP4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.02	0.00|0.06|0.00	2|0|0	0.0192	0.0575	0.9336
MTHFR	Q9NYF8	BCLAF1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|11|0	11	3	0.00	0.00|0.00|0.00	21|0|0	0.0000	0.0000	0.9965
MTHFR	O43156	TTI1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|2	3	3	0.02	0.01|0.00|0.04	1|0|1	0.0183	0.0450	0.9342
MTHFR	Q07065	CKAP4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	6|9|8	23	3	0.01	0.00|0.01|0.02	10|1|2	0.0108	0.0175	0.9438
MTHFR	P37108	SRP14	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	5|3|3	11	3	0.24	0.64|0.00|0.04	5|0|0	0.2292	0.6425	0.6931
MTHFR	P98175	RBM10	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|5|0	5	3	0.02	0.00|0.05|0.00	6|0|0	0.0183	0.0550	0.9342
MTHFR	P58876	HIST1H2BD	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|7|2	12	3	0.00	0.00|0.00|0.00	8|2|2	0.0000	0.0000	0.9965
MTHFR	P48643	CCT5	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	13|12|17	42	3	0.00	0.00|0.00|0.00	16|9|17	0.0000	0.0000	0.9965
MTHFR	Q06787	FMR1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	3|0|0	0.0000	0.0000	0.9965
MTHFR	P06737	PYGL	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|1	2	3	0.00	0.00|0.00|0.00	3|1|1	0.0000	0.0000	0.9965
MTHFR	O76021	RSL1D1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|11|1	13	3	0.00	0.00|0.00|0.00	23|0|1	0.0000	0.0000	0.9965
MTHFR	P55039	DRG2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|1	3	3	0.06	0.16|0.00|0.04	2|0|0	0.0692	0.1625	0.8759
MTHFR	Q9NRG9	AAAS	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|4|6	13	3	0.00	0.00|0.00|0.00	6|3|4	0.0000	0.0000	0.9965
MTHFR	Q5SSJ5	HP1BP3	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|6|0	6	3	0.01	0.00|0.04|0.00	8|0|0	0.0150	0.0450	0.9378
MTHFR	P46379	BAG6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	4|1|4	9	3	0.00	0.00|0.00|0.00	6|4|3	0.0000	0.0000	0.9965
MTHFR	Q15555	MAPRE2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|3	4	3	0.01	0.00|0.00|0.04	3|0|2	0.0125	0.0375	0.9409
MTHFR	Q8WVV9	HNRNPLL	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	5|0|0	0.0000	0.0000	0.9965
MTHFR	Q14137	BOP1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|4|1	5	3	0.00	0.00|0.00|0.00	12|0|1	0.0000	0.0000	0.9965
MTHFR	Q01082	SPTBN1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|26|1	28	3	0.00	0.00|0.00|0.00	56|0|0	0.0000	0.0000	0.9965
MTHFR	Q01081	U2AF1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.01	0.00|0.03|0.00	3|0|0	0.0100	0.0300	0.9457
MTHFR	P50991	CCT4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	14|11|16	41	3	0.00	0.00|0.00|0.00	17|10|15	0.0000	0.0000	0.9965
MTHFR	P62280	RPS11	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	9|4|5	18	3	0.00	0.00|0.00|0.00	7|7|8	0.0000	0.0000	0.9965
MTHFR	Q9BRX2	PELO	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|1|2	5	3	0.01	0.03|0.00|0.01	1|0|3	0.0150	0.0300	0.9378
MTHFR	P25398	RPS12	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|2|1	4	3	0.04	0.03|0.11|0.01	1|0|1	0.0500	0.1075	0.8999
MTHFR	P46783	RPS10	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	4|3|5	12	3	0.00	0.00|0.00|0.00	8|2|6	0.0000	0.0000	0.9965
MTHFR	P46782	RPS5	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|3|1	6	3	0.00	0.00|0.00|0.00	4|1|4	0.0000	0.0000	0.9965
MTHFR	P46781	RPS9	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	13|11|17	41	3	0.00	0.00|0.00|0.00	18|13|17	0.0000	0.0000	0.9965
MTHFR	P26373	RPL13	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	8|5|7	20	3	0.00	0.00|0.00|0.00	11|3|9	0.0000	0.0000	0.9965
MTHFR	Q96D46	NMD3	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|5|3	10	3	0.02	0.00|0.08|0.01	4|0|2	0.0308	0.0825	0.9211
MTHFR	A0A0A0MRZ7	IGKV2D-26	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	12|7|11	30	3	0.00	0.00|0.00|0.00	5|10|12	0.0000	0.0000	0.9965
MTHFR	P37198	NUP62	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|3|0	3	3	0.00	0.00|0.00|0.00	5|0|0	0.0017	0.0050	0.9641
